experiment,dataset,state,metric,direction,model,n,mean,std,sk_group
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,score_only,10,0.055311023443937304,0.029948325421101457,3
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,wrong_spec,10,0.05503886006772518,0.02498022667305004,3
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,reweight,10,0.1636453252285719,0.03524578387606449,4
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,proxy_exhaustive,10,0.028670383989810942,0.002628112900334752,1
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,repair_direct,10,0.029362683929502965,0.0027821672939026955,1
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,score_only,10,0.09094335064291954,0.006522606305782636,2
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,no_interaction,10,0.08487016260623932,0.01670953276849196,2
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,reweight,10,0.1270552881062031,0.02034950538877856,3
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,adv,10,0.1284279465675354,0.010710197823760327,3
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,erm,10,0.15786142647266388,0.0106471901976032,4
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,wrong_spec,10,0.16386221051216127,0.01663031357773282,4
acs_age,acs_employment,MD,cf_abs_prob_mean,lower,fairsmote,10,0.15354946553707122,0.010242031180021057,4
acs_age,acs_employment,MD,cf_flip_rate,lower,proxy_exhaustive,10,0.0287841796875,0.009034266137246791,1
acs_age,acs_employment,MD,cf_flip_rate,lower,repair_direct,10,0.0326904296875,0.007284733336999505,1
acs_age,acs_employment,MD,cf_flip_rate,lower,adv,10,0.12596435546875,0.02006013469148581,2
acs_age,acs_employment,MD,cf_flip_rate,lower,score_only,10,0.1377685546875,0.008451835165689302,2
acs_age,acs_employment,MD,cf_flip_rate,lower,no_interaction,10,0.12869873046875,0.029273584786331807,2
acs_age,acs_employment,MD,cf_flip_rate,lower,fairsmote,10,0.13345947265625,0.02160150599611207,2
acs_age,acs_employment,MD,cf_flip_rate,lower,erm,10,0.15306396484375,0.015637864009633035,3
acs_age,acs_employment,MD,cf_flip_rate,lower,reweight,10,0.1511962890625,0.026415632037129464,3
acs_age,acs_employment,MD,cf_flip_rate,lower,wrong_spec,10,0.15599365234375,0.023206594160012896,3
