"experiment","dataset","state","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","score_guard_global_interaction",10,0.059648946300149,0.0087959034051956,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","no_interaction",10,0.222754222154617,0.0337761507360589,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","score_only",10,0.238717474043369,0.020386802035194,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","erm",10,0.301862308382988,0.0268323647213697,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","wrong_spec",10,0.525148102641106,0.139920949408245,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","score_guard_global_interaction",10,0.0228133058175445,0.0229020248236091,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","repair_direct",10,0.0261510206852108,0.0257197789518918,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","no_interaction",10,0.042312766215764,0.0203728048869427,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","wrong_spec",10,0.0550388600677252,0.02498022667305,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","score_only",10,0.0553110234439373,0.0299483254211015,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","erm",10,0.0746590472757816,0.0375043825967243,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","repair_direct",10,0.029362683929503,0.0027821672939027,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","score_guard_global_interaction",10,0.0294288462027907,0.00219576956984378,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","no_interaction",10,0.0848701626062393,0.016709532768492,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","score_only",10,0.0909433506429195,0.00652260630578264,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","erm",10,0.157861426472664,0.0106471901976032,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","wrong_spec",10,0.163862210512161,0.0166303135777328,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","score_guard_global_interaction",10,0.0294921875,0.00815310288632544,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","repair_direct",10,0.0326904296875,0.00728473333699951,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","no_interaction",10,0.12869873046875,0.0292735847863318,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","score_only",10,0.1377685546875,0.0084518351656893,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","erm",10,0.15306396484375,0.015637864009633,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","wrong_spec",10,0.15599365234375,0.0232065941600129,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","no_interaction",10,0.0192392885684967,0.0184332723056955,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","score_only",10,0.0204803347587585,0.0108484446836847,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","score_guard_global_interaction",10,0.033331698179245,0.019924593573959,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","repair_direct",10,0.0334143280982971,0.0190305656633803,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","erm",10,0.107805389165878,0.0214615790155254,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","wrong_spec",10,0.170161592960358,0.0253924622538025,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","eod_gap","lower","score_guard_global_interaction",10,0.0185224025014329,0.0101240619432526,1,"ScottKnottESD","2.0.3"
