state,role,model,n,AUC_mean,AUC_std,Acc_mean,Acc_std,AOD_mean,AOD_std,EOD_mean,EOD_std,DP_mean,DP_std,Sgap_mean,Sgap_std,Delta2_mean,Delta2_std,Proxy_mean,Proxy_std,ProxyScore_mean,ProxyScore_std,BndDelta2_mean,BndDelta2_std
-,ERM,erm,10,0.910221644226592,0.0020498203518009564,0.8514206744057491,0.002713350338641272,0.0839646498242978,0.015047167551248918,0.0903388192169121,0.026446392194475817,0.18446715474128722,0.009928513218792045,0.20048851072788237,0.007117253151821137,0.2752241209149361,0.04809727565986621,0.2283663347363472,0.028275195071293644,1.029600140452385,0.09957415702995191,0.3137070804834366,0.05712609658121031
-,Global score guard,score_only,10,0.9046656457513431,0.0033286108142039695,0.8491984521835269,0.003544003030822567,0.04443106201835327,0.012407303934697095,0.03587228059604062,0.024926738976974,0.1475559376180172,0.019976950453752675,0.13401901423931123,0.01579197399696266,0.295683765411377,0.10560165069648951,0.26237155497074127,0.08155629756882142,0.09632633253931999,0.043534197945642374,0.28943575024604795,0.08027341276604538
-,Global + boundary score guards,no_interaction,10,0.9019995310879141,0.0029291371493838556,0.8479159756771697,0.003946930286148843,0.03818166469033587,0.018900727017658804,0.03610138214137763,0.041583553692127004,0.12979896515607833,0.017840527781366848,0.1139131247997284,0.014884345484546863,0.19831364676356317,0.0714697281589619,0.17691870480775834,0.04507529561526001,0.09426648765802384,0.049414237982096175,0.23312943577766418,0.08291382807102446
-,Score guards + global interaction,score_guard_global_interaction,10,0.9013506071139576,0.0034356996504078317,0.8465782200110559,0.003268926151874305,0.035674251115281747,0.012825942509860602,0.035565033455102375,0.02719431970814738,0.12506884709000587,0.015610772121789688,0.10833539515733719,0.013544960485511725,0.03185884840786457,0.0019711713206972442,0.020725727453827857,0.003583943742478044,0.08860031589865684,0.056843332536105,0.033057769574224946,0.002150973552674925
-,Final interaction steering,repair_direct,10,0.9013082168582025,0.0033810256595548705,0.8465561083471531,0.002824206687667973,0.035315155591783776,0.013628702304340407,0.034861409256957764,0.028873555692327912,0.12484958544373512,0.015143737359628503,0.10823977738618851,0.01351906536070226,0.0317158130928874,0.00196044224994105,0.01860673017799854,0.003789455797335633,0.08882423415780068,0.057730256768064876,0.03284198194742203,0.002039948845972708
-,Wrong-spec,wrong_spec,10,0.9059353963454492,0.002086743286525686,0.8471641791044776,0.0018589292778237495,0.14668659634992381,0.024788462601803035,0.19636010996874176,0.041293464076045505,0.21364329904317855,0.01978148780560832,0.22497172504663468,0.015093377893450808,0.4237834870815277,0.03812043164247109,0.5169659972190856,0.02636982836695329,1.5713911384344101,0.18548646095542767,0.43784767389297485,0.045992513056628846
