experiment,dataset,state,seed,role,model,AUC,Acc,AOD,EOD,DP,Sgap,Delta2,Proxy,ProxyScore,BndDelta2
hmda_va_race,hmda,VA,0,ERM,erm,0.8683869175485956,0.8821805508801805,0.045882520143398386,0.021881428019359883,0.09372591972351074,0.11922407150268555,0.31230708956718445,0.3764856159687042,0.6194564700126648,0.37108030915260315
hmda_va_race,hmda,VA,0,Global score guard,score_only,0.860271980434915,0.8796657491930853,0.03285518648810992,0.01436879905160282,0.0805971622467041,0.06683075428009033,0.1389753520488739,0.2257680594921112,0.052397383376955986,0.19749705493450165
hmda_va_race,hmda,VA,0,Global + boundary score guards,no_interaction,0.8573210975899619,0.8755272172828261,0.005362708920867099,0.0018727998257060952,0.0537373423576355,0.05586963891983032,0.10218050330877304,0.1815246194601059,0.03005627542734146,0.11740344017744064
hmda_va_race,hmda,VA,0,Score guards + global interaction,score_guard_global_interaction,0.8613222132889014,0.8774281697392131,0.010697418501080747,0.0036467697181584713,0.05846625566482544,0.06045800447463989,0.006909080781042576,0.03307854011654854,0.056720517575740814,0.008232181891798973
hmda_va_race,hmda,VA,0,Final interaction steering,repair_main05,0.8615410922072119,0.87715094750599,0.0019571525629369924,0.0017026550253445016,0.05144244432449341,0.050595998764038086,0.002569790231063962,0.01445333007723093,0.019015535712242126,0.0028196959756314754
hmda_va_race,hmda,VA,0,Wrong-spec,wrong_spec,0.8453718827065686,0.867487772519356,0.17630599563093902,0.09385211529552007,0.1836290955543518,0.17273026704788208,0.6931073069572449,0.6134875416755676,1.0062332153320312,0.7255282402038574
hmda_va_race,hmda,VA,1,ERM,erm,0.8681286487796356,0.8821607492920932,0.07164583490137222,0.04015897079671271,0.11511033773422241,0.1319485306739807,0.22890973091125488,0.3052103519439697,0.717072606086731,0.29471564292907715
hmda_va_race,hmda,VA,1,Global score guard,score_only,0.8630528475097303,0.8819825349993069,0.01908138103115037,0.011002792645938508,0.07405072450637817,0.06283432245254517,0.19072285294532776,0.3047555387020111,0.014329656958580017,0.2549300789833069
hmda_va_race,hmda,VA,1,Global + boundary score guards,no_interaction,0.8642188127167088,0.87715094750599,0.013165809792912153,0.0022778008788324478,0.04157149791717529,0.04517674446105957,0.1603507548570633,0.26191678643226624,0.023609913885593414,0.20459960401058197
hmda_va_race,hmda,VA,1,Score guards + global interaction,score_guard_global_interaction,0.8625534856893802,0.8808340428902398,0.0029977072601849453,0.0008018597388447235,0.05358248949050903,0.05269724130630493,0.0057663461193442345,0.028644783422350883,0.023029036819934845,0.007350610569119453
hmda_va_race,hmda,VA,1,Final interaction steering,repair_main05,0.8581644978491885,0.8772895586226015,0.0028428778748505468,0.0027413726613200184,0.051521122455596924,0.042733073234558105,0.003963707480579615,0.016106968745589256,0.025531789287924767,0.004341827239841223
hmda_va_race,hmda,VA,1,Wrong-spec,wrong_spec,0.8423670150077482,0.8651115819488723,0.16380762956187622,0.09325857744844868,0.17692768573760986,0.1773051619529724,0.6884792447090149,0.6622665524482727,1.0140613317489624,0.7108034491539001
hmda_va_race,hmda,VA,2,ERM,erm,0.8687755533967765,0.8826953921704521,0.0666473851628974,0.03450147890337252,0.11020481586456299,0.13145804405212402,0.2188524454832077,0.31746432185173035,0.8942105174064636,0.2812972962856293
hmda_va_race,hmda,VA,2,Global score guard,score_only,0.8605117805663537,0.8802597968357062,0.009260008624943583,0.008561928160883081,0.06633037328720093,0.056584060192108154,0.16543960571289062,0.27992239594459534,0.10984821617603302,0.21485643088817596
hmda_va_race,hmda,VA,2,Global + boundary score guards,no_interaction,0.8631669191845687,0.8793687253717748,0.017863580401180745,0.0018564899446037453,0.04454880952835083,0.04870790243148804,0.15701158344745636,0.2769066393375397,0.11009616404771805,0.17943471670150757
hmda_va_race,hmda,VA,2,Score guards + global interaction,score_guard_global_interaction,0.8646719177309883,0.8799627730143957,0.008550511761777624,0.0006807250499053508,0.04934215545654297,0.051407814025878906,0.006502178497612476,0.031026184558868408,0.16308964788913727,0.007904629223048687
hmda_va_race,hmda,VA,2,Final interaction steering,repair_main05,0.8573262808022545,0.877586582443912,0.008685483013860573,0.00245896478172114,0.050038158893585205,0.04629760980606079,0.004476312547922134,0.03126798942685127,0.11604799330234528,0.006233100313693285
hmda_va_race,hmda,VA,2,Wrong-spec,wrong_spec,0.8486692937262413,0.8684382487475496,0.12033085489391931,0.06895511448299341,0.1431254744529724,0.1452169418334961,0.5995602011680603,0.661795437335968,0.8633368015289307,0.6524621844291687
hmda_va_race,hmda,VA,3,ERM,erm,0.8731075656247598,0.8840815033365675,0.06279705727929366,0.02808399080812718,0.10513609647750854,0.11892068386077881,0.25674185156822205,0.3320644795894623,0.5905121564865112,0.31888359785079956
hmda_va_race,hmda,VA,3,Global score guard,score_only,0.8614005970414742,0.8793687253717748,0.006758209676199112,0.0011176568569999379,0.052115797996520996,0.041987061500549316,0.15455397963523865,0.25742411613464355,0.2118079662322998,0.19125813245773315
hmda_va_race,hmda,VA,3,Global + boundary score guards,no_interaction,0.8590552030894313,0.8746955505831567,0.031175059155091778,0.0046981912578232254,0.03000164031982422,0.030961155891418457,0.1545579582452774,0.2696128785610199,0.18857724964618683,0.15203453600406647
