state,role,model,n,AUC_mean,AUC_std,Acc_mean,Acc_std,AOD_mean,AOD_std,EOD_mean,EOD_std,DP_mean,DP_std,Sgap_mean,Sgap_std,Delta2_mean,Delta2_std,Proxy_mean,Proxy_std,ProxyScore_mean,ProxyScore_std,BndDelta2_mean,BndDelta2_std
MD,ERM,erm,10,0.8634584317244234,0.0022756785366973642,0.8673497956212554,0.0014191943483365763,0.06107855792973083,0.01165759790319448,0.03662493338259663,0.006316233715977103,0.11272727251052857,0.009649146833358921,0.1333787977695465,0.006244189076864747,0.2524424836039543,0.03388469574341887,0.3262151271104813,0.02033421499701753,0.6993335664272309,0.09152906135599659,0.3071378797292709,0.043412138343888414
MD,Global score guard,score_only,10,0.8509141558790904,0.0046885655375342485,0.8628450641133322,0.0033960941265736935,0.02099803076322895,0.01072918521622648,0.014803876004557615,0.004990930674633938,0.07769102454185486,0.008839587633490463,0.06118826270103454,0.0070038213292399395,0.15181173980236054,0.03256270759390121,0.2393033429980278,0.028978689204411573,0.07003841698169708,0.043885426754240286,0.19161873087286949,0.049874219078079776
MD,Global + boundary score guards,no_interaction,10,0.8511977805958136,0.005158597364220379,0.8619351587434907,0.0038899097126167733,0.007744607353548117,0.00595330909343297,0.0035385359353716783,0.0032724387374774627,0.059134173393249514,0.005916580092762421,0.05192305445671082,0.004155223257133774,0.13342847749590875,0.03133687088521598,0.22311358898878098,0.024858274114150588,0.06716706864535808,0.036111795866106446,0.16045035272836686,0.041972282070193226
MD,Score guards + global interaction,score_guard_global_interaction,10,0.8502927278651444,0.0038280389860522804,0.8623719133210146,0.0037127043316082914,0.009939092990821085,0.004700350229259912,0.00554339061426703,0.003057757069988599,0.06230227947235108,0.006530477904105089,0.053674173355102536,0.007651303516248677,0.00805633063428104,0.005435610723917007,0.020113744027912616,0.0034586412559851763,0.07529718494042754,0.03325339844138069,0.009850362362340093,0.006337657811601757
MD,Final interaction steering,repair_main05,10,0.8498960429186797,0.002245349038349454,0.8616271907721597,0.0024613104987623855,0.008095605118432552,0.004357025135742206,0.003901858196726238,0.0026101676747657195,0.05855385661125183,0.006833886188357019,0.04880222082138062,0.00627526558933502,0.004027462657541036,0.0015192382234010475,0.01705697728320956,0.002703133532013648,0.061771257873624565,0.033639001278306706,0.004784114821814,0.0017968038882597084
MD,Wrong-spec,wrong_spec,10,0.8426440958712234,0.005714052945377658,0.8494064617279803,0.002591523374529436,0.17752062838452998,0.032337448906956424,0.10491664669694546,0.02634428049054153,0.19557430148124694,0.031029043109046008,0.18300414681434632,0.017513725385460314,0.6183004379272461,0.0672381661431456,0.5858131289482117,0.062127762789230316,1.032973712682724,0.11761075374705225,0.638247263431549,0.06971819985774172
