experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,blind,mechanism,Gsub,10,0.20999242514371871,0.04903829458083383,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,accuracy,10,0.7147806550786331,0.0035357106513949042,higher
acs_intersectional_age_race,acs_employment,MD,erm,behavior,aod_age,10,0.07628497419998181,0.014742643017595558,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,aod_excess,10,0.07120678640206647,0.023048873580536033,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,aod_race,10,0.058598596688032155,0.024404217936101747,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,auc,10,0.7580742341916733,0.0036817232618919734,higher
acs_intersectional_age_race,acs_employment,MD,erm,behavior,bce,10,0.5598306448321256,0.004293456292156447,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,dp_age,10,0.11982785781492791,0.01317981474232911,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,dp_race,10,0.06813845212034217,0.0237097579611761,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,eod_age,10,0.05992720522371424,0.01313761377453097,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,eod_excess,10,0.036944467172923046,0.0181639461140363,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,eod_race,10,0.036846810596014,0.022291522363659375,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,eodds_max_age,10,0.09264274317624938,0.020856359703879338,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,eodds_max_race,10,0.08035038278005031,0.0301169730907197,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,fpr_age,10,0.09264274317624938,0.020856359703879338,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,fpr_race,10,0.08035038278005031,0.0301169730907197,lower
acs_intersectional_age_race,acs_employment,MD,erm,behavior,sAOD,10,0.15116767444517165,0.028053413631195862,lower
