experiment,dataset,state,seed,source,model,selector,val_auc,test_auc,floor,pass
adult_gender,adult,-,1,adult_gender,blind,utility_only,0.9069153457451334,0.9117143181964508,0.895,True
adult_gender,adult,-,1,adult_gender,reweight,utility_only,0.9028648410032015,0.9091331381193922,0.895,True
adult_gender,adult,-,1,adult_gender,adv,utility_only,0.9078068555541902,0.9122696433317777,0.895,True
adult_gender,adult,-,1,adult_gender,score_only,utility_guard_plus_score_control,0.9033595671501838,0.9089370368821124,0.895,True
adult_gender,adult,-,1,adult_gender,repair_direct,utility_guard_plus_mechanism,0.8968391628156225,0.9052958873289227,0.895,True
adult_gender,adult,-,1,adult_gender,wrong_spec,utility_guard_plus_wrong_spec,0.90381552439689,0.9083253924680078,0.895,True
adult_gender,adult,-,1,no_interaction,no_interaction,utility_guard_plus_score_control,0.9009995613575855,0.9071002022904572,0.895,True
acs_age,acs_employment,MD,1,acs_age,erm,utility_only,0.7605637063437815,0.757591226904584,0.748,True
acs_age,acs_employment,MD,1,acs_age,blind,utility_only,0.7490277235296032,0.7430990885136092,0.748,True
acs_age,acs_employment,MD,1,acs_age,reweight,utility_only,0.7495106272173941,0.7485443990555414,0.748,True
acs_age,acs_employment,MD,1,acs_age,adv,utility_only,0.7573260667903525,0.7540737191416536,0.748,True
acs_age,acs_employment,MD,1,acs_age,score_only,utility_guard_plus_score_control,0.7498960062493898,0.7479184810378718,0.748,True
acs_age,acs_employment,MD,1,acs_age,proxy_exhaustive,utility_guard_plus_mechanism,0.7490442014126225,0.7463643159128677,0.748,True
acs_age,acs_employment,MD,1,acs_age,repair_direct,utility_guard_plus_mechanism,0.7483797968948345,0.7462847459904722,0.748,True
acs_age,acs_employment,MD,1,acs_age,wrong_spec,utility_guard_plus_wrong_spec,0.7500243303062851,0.7498464897787092,0.748,True
acs_age,acs_employment,MD,1,no_interaction,no_interaction,utility_guard_plus_score_control,0.7502790254857923,0.747842984582887,0.748,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,erm,utility_only,0.7613612356419833,0.7588256446027257,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,blind,utility_only,0.7313605702451156,0.7274712524052558,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,reweight,utility_only,0.7496245706110838,0.7497618277781253,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,adv,utility_only,0.7580372663833185,0.7550925354773413,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,r1_joint_marginal,utility_guard_plus_marginal_mechanism,0.7556859202022805,0.7529754425641563,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,r3_intersectional,utility_guard_plus_mechanism,0.7613335800846718,0.7582859200955144,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,r4_r1plus,utility_guard_plus_marginal_mechanism,0.7530241247951824,0.7532949447383146,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,no_effect,utility_only,0.7597928744312936,0.758493483956483,0.73,True
acs_intersectional_age_race,acs_employment,MD,1,acs_intersectional_age_race,wrong_d3,utility_guard_plus_wrong_spec,0.7585937045138861,0.7554887193426716,0.73,True
hmda_race,hmda,OH,2,oh_ladder,erm,utility_only,0.8575703366433405,0.8591501298134602,0.84,True
hmda_race,hmda,OH,2,oh_ladder,blind,utility_only,0.8552419821342047,0.8575978122962342,0.84,True
hmda_race,hmda,OH,2,oh_ladder,reweight,utility_only,0.8487857765165219,0.85138006161105,0.84,True
hmda_race,hmda,OH,2,oh_ladder,adv,utility_only,0.8563131319940481,0.8581823646679272,0.84,True
hmda_race,hmda,OH,2,oh_ladder,score_only,utility_guard_plus_score_control,0.8538796790264629,0.8567247338342465,0.84,True
hmda_race,hmda,OH,2,oh_ladder,proxy_effect,utility_guard_plus_mechanism,0.8481413296564433,0.851782399441652,0.84,True
hmda_race,hmda,OH,2,oh_ladder,proxy_exhaustive,utility_guard_plus_mechanism,0.8541082862427355,0.8559082567816452,0.84,True
hmda_race,hmda,OH,2,oh_ladder,repair_main0,utility_guard_plus_mechanism,0.8547981295748164,0.8575044836922325,0.84,True
hmda_race,hmda,OH,2,oh_ladder,repair_full,utility_guard_plus_mechanism,0.8410994431779423,0.844558258303334,0.84,True
hmda_race,hmda,OH,2,oh_ladder,wrong_spec,utility_guard_plus_wrong_spec,0.8416256965065002,0.8445412650870151,0.84,True
hmda_race,hmda,OH,2,repair_main05,repair_main05,utility_guard_plus_mechanism,0.8438200965970705,0.8470680858663505,0.84,True
hmda_race,hmda,OH,2,no_interaction,no_interaction,utility_guard_plus_score_control,0.8480373891541046,0.851398005114006,0.84,True
adult_gender,adult,-,2,adult_gender,erm,utility_only,0.9087025628983141,0.9109597119809791,0.895,True
adult_gender,adult,-,2,adult_gender,blind,utility_only,0.9075342489711958,0.9103692446647152,0.895,True
adult_gender,adult,-,2,adult_gender,reweight,utility_only,0.900930710122659,0.9032180075353753,0.895,True
adult_gender,adult,-,2,adult_gender,adv,utility_only,0.9086999394388969,0.9097487491416062,0.895,True
adult_gender,adult,-,2,adult_gender,score_only,utility_guard_plus_score_control,0.8973000754856723,0.8982865957625087,0.895,True
adult_gender,adult,-,2,adult_gender,repair_direct,utility_guard_plus_mechanism,0.8983761602395022,0.899154233918158,0.895,True
adult_gender,adult,-,2,adult_gender,wrong_spec,utility_guard_plus_wrong_spec,0.9055261948341867,0.9064280752981544,0.895,True
adult_gender,adult,-,2,no_interaction,no_interaction,utility_guard_plus_score_control,0.8983970313166432,0.8991462679200536,0.895,True
acs_age,acs_employment,MD,2,acs_age,erm,utility_only,0.759738795039547,0.7588300415749984,0.748,True
acs_age,acs_employment,MD,2,acs_age,blind,utility_only,0.7474961348175635,0.7465281242259267,0.748,False
acs_age,acs_employment,MD,2,acs_age,reweight,utility_only,0.7541588549295316,0.7509241965245725,0.748,True
acs_age,acs_employment,MD,2,acs_age,adv,utility_only,0.7571957491130423,0.7550661119183798,0.748,True
acs_age,acs_employment,MD,2,acs_age,score_only,utility_guard_plus_score_control,0.7495917146763011,0.7514392841901681,0.748,True
acs_age,acs_employment,MD,2,acs_age,proxy_exhaustive,utility_guard_plus_mechanism,0.7405150050450802,0.7418773229062331,0.748,False
acs_age,acs_employment,MD,2,acs_age,repair_direct,utility_guard_plus_mechanism,0.7421386257852423,0.7440332169755759,0.748,False
acs_age,acs_employment,MD,2,acs_age,wrong_spec,utility_guard_plus_wrong_spec,0.7517189076587573,0.752692035611442,0.748,True
acs_age,acs_employment,MD,2,no_interaction,no_interaction,utility_guard_plus_score_control,0.7497072226019595,0.7522088491456794,0.748,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,erm,utility_only,0.7593690998012127,0.752581392806129,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,blind,utility_only,0.7363678896106597,0.7294412088519263,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,reweight,utility_only,0.7500453301616081,0.7435729165996713,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,adv,utility_only,0.7580830124179689,0.752714292145842,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,r1_joint_marginal,utility_guard_plus_marginal_mechanism,0.754678467757363,0.7454893449576891,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,r3_intersectional,utility_guard_plus_mechanism,0.7574921088090227,0.7526450067443637,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,r4_r1plus,utility_guard_plus_marginal_mechanism,0.7556936138535628,0.7464836927891145,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,no_effect,utility_only,0.7586281180081345,0.7557703630379632,0.73,True
acs_intersectional_age_race,acs_employment,MD,2,acs_intersectional_age_race,wrong_d3,utility_guard_plus_wrong_spec,0.7569245980587045,0.7480767600392209,0.73,True
hmda_race,hmda,OH,3,oh_ladder,erm,utility_only,0.8581084625757235,0.8613439000368822,0.84,True
hmda_race,hmda,OH,3,oh_ladder,blind,utility_only,0.8575901104661043,0.8589043530902496,0.84,True
hmda_race,hmda,OH,3,oh_ladder,reweight,utility_only,0.8498189467280639,0.8524998560115846,0.84,True
hmda_race,hmda,OH,3,oh_ladder,adv,utility_only,0.8582410469102411,0.8598076574330953,0.84,True
hmda_race,hmda,OH,3,oh_ladder,score_only,utility_guard_plus_score_control,0.851237599326091,0.8543983946269651,0.84,True
hmda_race,hmda,OH,3,oh_ladder,proxy_effect,utility_guard_plus_mechanism,0.8500323452459944,0.853491541317196,0.84,True
hmda_race,hmda,OH,3,oh_ladder,proxy_exhaustive,utility_guard_plus_mechanism,0.8497137946909087,0.8534808538216566,0.84,True
hmda_race,hmda,OH,3,oh_ladder,repair_main0,utility_guard_plus_mechanism,0.8546970287438844,0.8575057095312408,0.84,True
hmda_race,hmda,OH,3,oh_ladder,repair_full,utility_guard_plus_mechanism,0.8500054760717642,0.8527273583229645,0.84,True
hmda_race,hmda,OH,3,oh_ladder,wrong_spec,utility_guard_plus_wrong_spec,0.8421444433490333,0.8454340043337008,0.84,True
hmda_race,hmda,OH,3,repair_main05,repair_main05,utility_guard_plus_mechanism,0.848339129116889,0.8522838776940135,0.84,True
hmda_race,hmda,OH,3,no_interaction,no_interaction,utility_guard_plus_score_control,0.8500665940668642,0.853178074046876,0.84,True
adult_gender,adult,-,3,adult_gender,erm,utility_only,0.912022813136699,0.9086807481036007,0.895,True
adult_gender,adult,-,3,adult_gender,blind,utility_only,0.9100325985237268,0.9074379212718114,0.895,True
adult_gender,adult,-,3,adult_gender,reweight,utility_only,0.9038266595246386,0.900635221145942,0.895,True
adult_gender,adult,-,3,adult_gender,adv,utility_only,0.912034472956331,0.9078794932654862,0.895,True
adult_gender,adult,-,3,adult_gender,score_only,utility_guard_plus_score_control,0.9077554357496133,0.9070845981131008,0.895,True
adult_gender,adult,-,3,adult_gender,repair_direct,utility_guard_plus_mechanism,0.9046360259043881,0.9024524849521312,0.895,True
adult_gender,adult,-,3,adult_gender,wrong_spec,utility_guard_plus_wrong_spec,0.906136994485605,0.9048540202982811,0.895,True
adult_gender,adult,-,3,no_interaction,no_interaction,utility_guard_plus_score_control,0.9025525910334588,0.8994797908201017,0.895,True
acs_age,acs_employment,MD,3,acs_age,erm,utility_only,0.7515588891058815,0.7580074300045567,0.748,True
acs_age,acs_employment,MD,3,acs_age,blind,utility_only,0.7397348891709794,0.7468735908777764,0.748,False
acs_age,acs_employment,MD,3,acs_age,reweight,utility_only,0.7484539677114865,0.755449223816804,0.748,True
acs_age,acs_employment,MD,3,acs_age,adv,utility_only,0.7502817107704326,0.758168126005437,0.748,True
acs_age,acs_employment,MD,3,acs_age,score_only,utility_guard_plus_score_control,0.7400869055756274,0.7516893676275961,0.748,False
acs_age,acs_employment,MD,3,acs_age,proxy_exhaustive,utility_guard_plus_mechanism,0.7349310370081048,0.7451232585469127,0.748,False
acs_age,acs_employment,MD,3,acs_age,repair_direct,utility_guard_plus_mechanism,0.7340620626240927,0.7442326566861527,0.748,False
acs_age,acs_employment,MD,3,acs_age,wrong_spec,utility_guard_plus_wrong_spec,0.7477387869023208,0.7567116096750434,0.748,False
acs_age,acs_employment,MD,3,no_interaction,no_interaction,utility_guard_plus_score_control,0.7390114490772386,0.7502253680171843,0.748,False
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,erm,utility_only,0.7697617151436009,0.7542923037074414,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,blind,utility_only,0.7501251258015953,0.7347521541328303,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,reweight,utility_only,0.759280414874947,0.7443158490502053,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,adv,utility_only,0.7689736357284849,0.7550745271198263,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,r1_joint_marginal,utility_guard_plus_marginal_mechanism,0.7600822700845886,0.7482189266668109,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,r3_intersectional,utility_guard_plus_mechanism,0.7667536014605462,0.7532394579484388,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,r4_r1plus,utility_guard_plus_marginal_mechanism,0.7606208256743381,0.7490783579886068,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,no_effect,utility_only,0.7675942888155104,0.7538753049873211,0.73,True
acs_intersectional_age_race,acs_employment,MD,3,acs_intersectional_age_race,wrong_d3,utility_guard_plus_wrong_spec,0.7630218686839281,0.7496283145171334,0.73,True
hmda_race,hmda,OH,4,oh_ladder,erm,utility_only,0.8622254776643858,0.8591033234297678,0.84,True
hmda_race,hmda,OH,4,oh_ladder,blind,utility_only,0.8617536931041956,0.8585195780328765,0.84,True
hmda_race,hmda,OH,4,oh_ladder,reweight,utility_only,0.85323347391008,0.8516715160603608,0.84,True
hmda_race,hmda,OH,4,oh_ladder,adv,utility_only,0.8635451343092081,0.8602872305020928,0.84,True
hmda_race,hmda,OH,4,oh_ladder,score_only,utility_guard_plus_score_control,0.8494910494224264,0.8476978681915407,0.84,True
hmda_race,hmda,OH,4,oh_ladder,proxy_effect,utility_guard_plus_mechanism,0.8586075012020711,0.8563310513004461,0.84,True
hmda_race,hmda,OH,4,oh_ladder,proxy_exhaustive,utility_guard_plus_mechanism,0.8589507963716859,0.8568385578759989,0.84,True
hmda_race,hmda,OH,4,oh_ladder,repair_main0,utility_guard_plus_mechanism,0.8494971409932411,0.8479914581717283,0.84,True
hmda_race,hmda,OH,4,oh_ladder,repair_full,utility_guard_plus_mechanism,0.8527510588972846,0.8500170571838336,0.84,True
hmda_race,hmda,OH,4,oh_ladder,wrong_spec,utility_guard_plus_wrong_spec,0.8425351895700008,0.8418311749176682,0.84,True
hmda_race,hmda,OH,4,repair_main05,repair_main05,utility_guard_plus_mechanism,0.849661575134741,0.8484743427897576,0.84,True
hmda_race,hmda,OH,4,no_interaction,no_interaction,utility_guard_plus_score_control,0.849307747922389,0.8476261907460608,0.84,True
adult_gender,adult,-,4,adult_gender,erm,utility_only,0.9031025847254963,0.9107296159287442,0.895,True
adult_gender,adult,-,4,adult_gender,blind,utility_only,0.901451262770126,0.9094299125261288,0.895,True
adult_gender,adult,-,4,adult_gender,reweight,utility_only,0.8953788870049211,0.9037152103882384,0.895,True
adult_gender,adult,-,4,adult_gender,adv,utility_only,0.9027565212788211,0.9108059321574952,0.895,True
adult_gender,adult,-,4,adult_gender,score_only,utility_guard_plus_score_control,0.8979302887367775,0.9058769134622482,0.895,True
adult_gender,adult,-,4,adult_gender,repair_direct,utility_guard_plus_mechanism,0.8952432250035037,0.903394439641534,0.895,True
adult_gender,adult,-,4,adult_gender,wrong_spec,utility_guard_plus_wrong_spec,0.9000203114057987,0.9069708121895639,0.895,True
adult_gender,adult,-,4,no_interaction,no_interaction,utility_guard_plus_score_control,0.895210052816651,0.9020278939749912,0.895,True
acs_age,acs_employment,MD,4,acs_age,erm,utility_only,0.7540865963610325,0.7589447623172959,0.748,True
acs_age,acs_employment,MD,4,acs_age,blind,utility_only,0.7427408212088664,0.7428842932039734,0.748,False
acs_age,acs_employment,MD,4,acs_age,reweight,utility_only,0.7499711942193146,0.7529128266989518,0.748,True
acs_age,acs_employment,MD,4,acs_age,adv,utility_only,0.7497921752433031,0.7508966891772273,0.748,True
acs_age,acs_employment,MD,4,acs_age,score_only,utility_guard_plus_score_control,0.7482433356117566,0.7526655580732737,0.748,True
acs_age,acs_employment,MD,4,acs_age,proxy_exhaustive,utility_guard_plus_mechanism,0.734060069003678,0.7408767374253893,0.748,False
acs_age,acs_employment,MD,4,acs_age,repair_direct,utility_guard_plus_mechanism,0.7335335904696807,0.7406072706907887,0.748,False
acs_age,acs_employment,MD,4,acs_age,wrong_spec,utility_guard_plus_wrong_spec,0.7483373205741627,0.74963638582199,0.748,True
acs_age,acs_employment,MD,4,no_interaction,no_interaction,utility_guard_plus_score_control,0.7484230462519936,0.7530058070252942,0.748,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,erm,utility_only,0.7511313826115162,0.7630576378530997,0.73,True
acs_intersectional_age_race,acs_employment,MD,4,acs_intersectional_age_race,blind,utility_only,0.7291359613737118,0.7419521351889737,0.73,False
