experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_age,acs_employment,MD,erm,mechanism,boundary_proxy_score_gap_cond_mean,10,0.07465904727578163,0.03750438259672427,lower
acs_age,acs_employment,MD,erm,mechanism,cf_abs_prob_mean,10,0.15786142647266388,0.0106471901976032,lower
acs_age,acs_employment,MD,erm,mechanism,cf_flip_rate,10,0.15306396484375,0.015637864009633035,lower
acs_age,acs_employment,MD,erm,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.4253858834505081,0.09684764309880857,lower
acs_age,acs_employment,MD,erm,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.09327463656663895,0.017333244024406474,lower
acs_age,acs_employment,MD,erm,mechanism,main_abs_logit_mean,10,0.9499098181724548,0.05730013287926217,lower
acs_age,acs_employment,MD,erm,mechanism,pair_abs_max,10,1.8448868632316588,0.4140836072198344,lower
acs_age,acs_employment,MD,erm,mechanism,pair_abs_mean,10,0.29958504140377046,0.03136374920348134,lower
acs_age,acs_employment,MD,erm,mechanism,pair_abs_q95,10,0.7745947897434234,0.08690358624530534,lower
acs_age,acs_employment,MD,erm,mechanism,proxy_effect_gap_max,10,0.8622392654418946,0.06752872599791802,lower
acs_age,acs_employment,MD,erm,mechanism,proxy_effect_gap_mean,10,0.25865807086229325,0.020244903740302092,lower
acs_age,acs_employment,MD,erm,mechanism,proxy_score_gap_cond_mean,10,0.6397969484329223,0.027365919115414566,lower
acs_age,acs_employment,MD,fairsmote,behavior,accuracy,10,0.7090397247419455,0.003880479407559434,higher
acs_age,acs_employment,MD,fairsmote,behavior,aod_gap,10,0.1300538038456342,0.022298090605954283,lower
acs_age,acs_employment,MD,fairsmote,behavior,auc,10,0.7497023759940404,0.0035464776880145014,higher
acs_age,acs_employment,MD,fairsmote,behavior,dp_gap,10,0.15093135833740234,0.019220678786432438,lower
acs_age,acs_employment,MD,fairsmote,behavior,eod_gap,10,0.0689860645723026,0.014746280620653435,lower
acs_age,acs_employment,MD,fairsmote,behavior,eodds_max_gap,10,0.1911215431189658,0.032789650236911036,lower
acs_age,acs_employment,MD,fairsmote,behavior,fpr_gap,10,0.1911215431189658,0.032789650236911036,lower
acs_age,acs_employment,MD,fairsmote,mechanism,boundary_proxy_effect_gap_max,10,1.0025186717510224,0.31713634936982216,lower
acs_age,acs_employment,MD,fairsmote,mechanism,boundary_proxy_effect_gap_mean,10,0.3459187686443329,0.05743206964718835,lower
acs_age,acs_employment,MD,fairsmote,mechanism,boundary_proxy_score_gap_cond_mean,10,0.03939149305224419,0.011075325315863796,lower
acs_age,acs_employment,MD,fairsmote,mechanism,cf_abs_prob_mean,10,0.15354946553707122,0.010242031180021057,lower
acs_age,acs_employment,MD,fairsmote,mechanism,cf_flip_rate,10,0.13345947265625,0.02160150599611207,lower
acs_age,acs_employment,MD,fairsmote,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.6752670109272003,0.1249378236687562,lower
acs_age,acs_employment,MD,fairsmote,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.155775186419487,0.03303497982857456,lower
acs_age,acs_employment,MD,fairsmote,mechanism,main_abs_logit_mean,10,0.9580007195472717,0.06102354394470831,lower
acs_age,acs_employment,MD,fairsmote,mechanism,pair_abs_max,10,2.3604989886283874,0.3916973261982861,lower
acs_age,acs_employment,MD,fairsmote,mechanism,pair_abs_mean,10,0.361596542596817,0.08378690677260116,lower
acs_age,acs_employment,MD,fairsmote,mechanism,pair_abs_q95,10,0.8994666770100593,0.19123556130683209,lower
acs_age,acs_employment,MD,fairsmote,mechanism,proxy_effect_gap_max,10,0.836015784740448,0.19485280573913719,lower
acs_age,acs_employment,MD,fairsmote,mechanism,proxy_effect_gap_mean,10,0.27300140261650085,0.05731367604361161,lower
acs_age,acs_employment,MD,fairsmote,mechanism,proxy_score_gap_cond_mean,10,0.71917924284935,0.06187343029288741,lower
acs_age,acs_employment,MD,no_interaction,behavior,accuracy,10,0.7126576999270149,0.005468434133974874,higher
acs_age,acs_employment,MD,no_interaction,behavior,aod_gap,10,0.0407301115198533,0.017101385206926698,lower
acs_age,acs_employment,MD,no_interaction,behavior,auc,10,0.746686653050606,0.005775117180074285,higher
acs_age,acs_employment,MD,no_interaction,behavior,dp_gap,10,0.019239288568496705,0.0184332723056955,lower
acs_age,acs_employment,MD,no_interaction,behavior,eod_gap,10,0.03319786826961987,0.015646759439035606,lower
acs_age,acs_employment,MD,no_interaction,behavior,eodds_max_gap,10,0.049268261066960736,0.019398357122242627,lower
acs_age,acs_employment,MD,no_interaction,behavior,fpr_gap,10,0.04826235477008673,0.020749051977307698,lower
acs_age,acs_employment,MD,no_interaction,mechanism,boundary_proxy_effect_gap_max,10,0.5927852272987366,0.08626512135095837,lower
acs_age,acs_employment,MD,no_interaction,mechanism,boundary_proxy_effect_gap_mean,10,0.22275422215461732,0.03377615073605894,lower
acs_age,acs_employment,MD,no_interaction,mechanism,boundary_proxy_score_gap_cond_mean,10,0.042312766215763985,0.020372804886942653,lower
acs_age,acs_employment,MD,no_interaction,mechanism,cf_abs_prob_mean,10,0.08487016260623932,0.01670953276849196,lower
acs_age,acs_employment,MD,no_interaction,mechanism,cf_flip_rate,10,0.12869873046875,0.029273584786331807,lower
acs_age,acs_employment,MD,no_interaction,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.3160472303628922,0.07529119982586589,lower
acs_age,acs_employment,MD,no_interaction,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.07245399616658688,0.018193726388783853,lower
acs_age,acs_employment,MD,no_interaction,mechanism,main_abs_logit_mean,10,0.43483887016773226,0.08450883116763011,lower
acs_age,acs_employment,MD,no_interaction,mechanism,pair_abs_max,10,1.1845078229904176,0.33402664459587467,lower
acs_age,acs_employment,MD,no_interaction,mechanism,pair_abs_mean,10,0.20387760624289514,0.04364934519904167,lower
acs_age,acs_employment,MD,no_interaction,mechanism,pair_abs_q95,10,0.5438731625676155,0.12344340551470843,lower
acs_age,acs_employment,MD,no_interaction,mechanism,proxy_effect_gap_max,10,0.5540374696254731,0.04506980157143666,lower
acs_age,acs_employment,MD,no_interaction,mechanism,proxy_effect_gap_mean,10,0.19133547469973564,0.0314272567630088,lower
acs_age,acs_employment,MD,no_interaction,mechanism,proxy_score_gap_cond_mean,10,0.04720143433660269,0.03181084285253818,lower
acs_age,acs_employment,MD,proxy_exhaustive,behavior,accuracy,10,0.7115629235741842,0.004775011700814732,higher
acs_age,acs_employment,MD,proxy_exhaustive,behavior,aod_gap,10,0.0235597275438149,0.009702395388958007,lower
acs_age,acs_employment,MD,proxy_exhaustive,behavior,auc,10,0.7419606115839893,0.004786056725103853,higher
acs_age,acs_employment,MD,proxy_exhaustive,behavior,dp_gap,10,0.029286998510360717,0.019619642125658483,lower
acs_age,acs_employment,MD,proxy_exhaustive,behavior,eod_gap,10,0.020592495506546495,0.0112696085516872,lower
