"source_state","target_state","metric","status","error"
"MD","MD","mechanism_boundary_proxy_effect_gap_cond__tract_minority_population_percent","skipped","No finite values"
"MD","MD","mechanism_boundary_proxy_effect_gap_cond__tract_to_msa_income_percentage","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__loan_amount_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__loan_amount_high","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__loan_to_value_ratio_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__loan_to_value_ratio_high","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__property_value_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__property_value_high","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__income_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__income_high","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__debt_to_income_ratio_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__debt_to_income_ratio_high","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__tract_minority_population_percent_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__tract_minority_population_percent_high","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__tract_to_msa_income_percentage_low","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_cond__tract_to_msa_income_percentage_high","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__loan_amount__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__loan_amount__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__loan_amount__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__loan_amount__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__loan_amount__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y1__loan_amount__by__loan_to_value_ratio","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_overall__loan_amount__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y0__loan_amount__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_proxy_gap_y1__loan_amount__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_overall__loan_amount__by__property_value","skipped","No finite values"
"MD","MD","mechanism_higher_order_boundary_proxy_gap_y0__loan_amount__by__property_value","skipped","No finite values"
