model_variant,auc_delta_source_minus_target,acc_delta_source_minus_target,aod_delta_source_minus_target,eod_delta_source_minus_target,pair_delta_source_minus_target,proxy_effect_delta_source_minus_target
adv,0.006267092286052933,0.008199436863910337,-0.04651010214759767,-0.05823569242989107,-0.002545501415928242,-0.021041267737746228
blind,0.008338271823824628,0.012248743572958687,-0.0710807847359705,-0.08854799390201311,0.0,-0.02922898816565675
erm,0.005801100527002001,0.0088771029325182,-0.04918367505504015,-0.06249828565127397,-0.007660358150800073,-0.01992870743076003
repair_main0,0.0019756428825488115,0.001274403355032483,-0.01130766434035782,-0.012365805757362361,-5.242277402429593e-05,-0.007360286521725351
repair_main05,0.0032932524208773017,0.0018634673145140335,-0.006210988836307742,-0.008219573415858807,6.743641667232613e-05,-0.007989877089857968
reweight,0.004349974562167791,0.012020593219754683,-0.04039308098205117,-0.054774489662349254,-0.012620497743288661,-0.014912020787596625
score_only,0.005329763200787152,0.004462902143344882,-0.02459118394472401,-0.026516365539156962,-0.001543720190723713,-0.014735712483525287
wrong_spec,0.004941763461584259,0.003750872798872207,0.00167078960532821,-0.004934259575793243,-0.034271100908517815,-0.022529127945502547
