transfer_kind,source_state,target_state,model_variant,n,behavior_auc_mean,behavior_auc_std,behavior_accuracy_mean,behavior_accuracy_std,behavior_aod_gap_mean,behavior_aod_gap_std,behavior_eod_gap_mean,behavior_eod_gap_std,behavior_eodds_max_gap_mean,behavior_eodds_max_gap_std,behavior_dp_gap_mean,behavior_dp_gap_std,source_threshold_auc_mean,source_threshold_auc_std,source_threshold_accuracy_mean,source_threshold_accuracy_std,source_threshold_aod_gap_mean,source_threshold_aod_gap_std,source_threshold_eod_gap_mean,source_threshold_eod_gap_std,source_threshold_eodds_max_gap_mean,source_threshold_eodds_max_gap_std,source_threshold_dp_gap_mean,source_threshold_dp_gap_std,mechanism_pair_abs_mean_mean,mechanism_pair_abs_mean_std,mechanism_pair_abs_q95_mean,mechanism_pair_abs_q95_std,mechanism_main_abs_logit_mean_mean,mechanism_main_abs_logit_mean_std,mechanism_cf_abs_prob_mean_mean,mechanism_cf_abs_prob_mean_std,mechanism_cf_flip_rate_mean,mechanism_cf_flip_rate_std,mechanism_proxy_score_gap_cond_mean_mean,mechanism_proxy_score_gap_cond_mean_std,mechanism_proxy_effect_gap_mean_mean,mechanism_proxy_effect_gap_mean_std,mechanism_boundary_proxy_score_gap_cond_mean_mean,mechanism_boundary_proxy_score_gap_cond_mean_std,mechanism_boundary_proxy_effect_gap_mean_mean,mechanism_boundary_proxy_effect_gap_mean_std,mechanism_higher_order_proxy_gap_scope_mean_mean,mechanism_higher_order_proxy_gap_scope_mean_std,mechanism_higher_order_boundary_proxy_gap_scope_mean_mean,mechanism_higher_order_boundary_proxy_gap_scope_mean_std
cross,MD,OH,adv,10,0.8427825296893532,0.0015799312301677962,0.855286187814654,0.004399095868983225,0.13963451253862658,0.01294821670535236,0.09420576839406473,0.01419246478347182,0.18506325668318843,0.01770487524005315,0.1929042100906372,0.014481376569055387,0.8427825296893532,0.0015799312301677962,0.8582500034672622,0.005107929516839845,0.05398901040072823,0.012067061453443434,0.021631409117049204,0.011433736276429483,0.08634661168440724,0.01705977729142811,0.10129201412200928,0.022197914286394192,0.24423646777868271,0.03417669823288736,0.6547514143586157,0.10936958038374285,0.7152082532644272,0.12461939108893752,0.0960750363767147,0.018621207990227,0.10057373046875,0.02783235546019896,0.8193819582462311,0.1364650582362429,0.26585416346788404,0.042501481693660956,0.06534123364835978,0.03614450130733458,0.21502307206392288,0.046783524508930016,0.12328519597649575,0.02293233863671821,0.13488544002175332,0.030002667105095766
cross,MD,OH,blind,10,0.8419405994705802,0.0020238909226825644,0.8572736224567633,0.0035449160009913953,0.07019054233234491,0.009441819003512762,0.038136691230059104,0.009121011231253381,0.1022443934346307,0.017163729582970143,0.1280228853225708,0.009556572932766107,0.8419405994705802,0.0020238909226825644,0.8605619738429746,0.004002285017138849,0.02203864255172215,0.011989381232650337,0.00700314030779956,0.0060155102348834495,0.03707414479564474,0.019123096206101906,0.06978437900543213,0.016708972355777573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196628868579865,0.09650948773999952,0.23020380586385727,0.03460818322245402,0.06080178562551737,0.02553735436780608,0.2050376459956169,0.05636791384441381,0.10295963883399964,0.016072865414584407,0.13002035841345788,0.029944022294519194
cross,MD,OH,erm,10,0.842193693892955,0.001997647141562437,0.8581085391731273,0.0027606862624598274,0.14345251847206605,0.015209144192490438,0.09640068982460667,0.01995937728452115,0.1905043471195255,0.015465477579411488,0.19514912366867065,0.017934716140709763,0.842193693892955,0.001997647141562437,0.8596660333134544,0.006302560644628071,0.04953406248524299,0.010187751809106029,0.018812680914257786,0.010169853579605948,0.08025544405622818,0.014865638290163432,0.09450572729110718,0.020455834530047044,0.25901454985141753,0.027996995419581772,0.7064759871363638,0.0846418898048343,0.8771012723445892,0.1066807018723849,0.11331712007522583,0.015986146119391916,0.109619140625,0.023967542122461813,0.9356481909751893,0.1411483025206981,0.2854596868157387,0.035550759228288924,0.07122109979391097,0.03226266661231143,0.24486939013004302,0.057101147326592966,0.14048791974782943,0.03218618229680024,0.15835565105080604,0.04278839508869874
cross,MD,OH,no_interaction,10,0.8372590904665744,0.00340985650070834,0.8537453365324605,0.005207626904945393,0.05260933056696314,0.020433132158312203,0.02643949074309181,0.01788803065053571,0.07877917039083449,0.025396049228200414,0.11058931350708008,0.0204525546077431,0.8372590904665744,0.00340985650070834,0.85771743200699,0.004627248893276978,0.0390991387911634,0.014895074891676447,0.014507796555269004,0.009869201829057027,0.0636904810270578,0.02202967577923592,0.08590447306632995,0.02114786524515686,0.1338932156562805,0.03188031512802322,0.3712275234609842,0.09844609651326265,0.18584958761930465,0.04779433197762491,0.025619285926222802,0.007381780611553936,0.02109375,0.008890354777369198,0.1716989040374756,0.11863513408429387,0.20586956888437272,0.032455116893739554,0.05340369138866663,0.02087539737722514,0.1475680373609066,0.03389705663456538,0.06683649756014347,0.01794773988712405,0.0740217201411724,0.020167235073797345
cross,MD,OH,repair_main0,10,0.8364975274341294,0.004298907470706072,0.8561252652455515,0.00613603583104059,0.04108829461528063,0.007491059633231981,0.016277548034493973,0.007880896899677164,0.06589904119606729,0.010926454811083336,0.10028787851333618,0.007842524954174132,0.8364975274341294,0.004298907470706072,0.8568575510034258,0.008174954108263067,0.023945738630697096,0.007993431592118485,0.005029467835864021,0.0031967237402010244,0.04286200942553017,0.013805985070891109,0.0681008517742157,0.017839422341197245,0.005619626073166728,0.0012323894017296072,0.01587974490597844,0.0029633822020441562,0.024151683412492277,0.0087019901586899,0.002878831932321191,0.0012351888578944336,0.0020263671875,0.001559232898897756,0.13446006663143634,0.06055280326332932,0.04817643817514181,0.02231553907985995,0.03313638530671596,0.024213713376593365,0.04559002984315157,0.013236852089059505,0.03564933612942696,0.010362998792421635,0.03402530904859304,0.005752561348572216
cross,MD,OH,repair_main05,10,0.8356002428034639,0.00323135612031889,0.8558007295119483,0.005110069673122555,0.038130797222008475,0.008346604981006504,0.014613548616439131,0.010145909838754356,0.0616480458275778,0.010920376562721877,0.095865136384964,0.00913844787921639,0.8356002428034639,0.00323135612031889,0.851569282831505,0.015037401745831047,0.025394580377914644,0.009916500773385845,0.006667217959046956,0.003612135845403493,0.044121942796782325,0.0171452013775119,0.07105712294578552,0.020501791174781615,0.004532571136951447,0.0018047920746783964,0.013022884279489517,0.004626150817075785,0.008527050632983446,0.004790180210924373,0.0011865494074299932,0.000707145642342812,0.00103759765625,0.0007832184470589257,0.11867325827479362,0.07081650372070286,0.041519041359424594,0.014019280203314298,0.05120897479355335,0.02164248994202742,0.04453616365790367,0.010870028284135,0.03274605888873339,0.006862989816984565,0.030232786014676095,0.005846362867015407
cross,MD,OH,reweight,10,0.8338686604471708,0.005948174762849438,0.7702605994202738,0.021300351571330083,0.035799835506074906,0.012252840048981967,0.02589470635788802,0.010727279724382211,0.04623512847384033,0.01647846025705926,0.10611664652824401,0.017312624908507872,0.8338686604471708,0.005948174762849438,0.8465625563430093,0.01882064003994335,0.047471990987806204,0.012818193528331613,0.02003003056584559,0.011320808043332074,0.07491395140976684,0.018578793244505638,0.09915109872817993,0.02023993419174563,0.23094315975904464,0.09759684441955199,0.6108583307266234,0.25516021789005106,0.2614693485200405,0.11019986164231735,0.0424536794424057,0.016369976701594267,0.05604248046875,0.022521702489981327,0.21075377762317657,0.12103544373189687,0.26248224824666977,0.06487254079179658,0.06747317970730364,0.046187458674753726,0.24106924533843993,0.07030697253066483,0.13110173754394056,0.07527561603457655,0.14385053478181362,0.07921559082252992
cross,MD,OH,score_only,10,0.8375072151051117,0.0038841166439577417,0.850226758942069,0.008569085482286371,0.09281977354117285,0.01205329441246631,0.055431819772684535,0.016528423731555615,0.13020772730966115,0.015562198467426836,0.14815543889999389,0.01365477423708152,0.8375072151051117,0.0038841166439577417,0.854753616354382,0.011362373154546296,0.048211145284115665,0.014186850723066271,0.018692929229156018,0.00907632191981325,0.0777293613390753,0.022274109618485555,0.09291770458221435,0.023899927654684947,0.16119536831974984,0.04378329152567322,0.4437702313065528,0.13169911196651446,0.2593205124139786,0.07258359447295934,0.03799027968198061,0.012343314663739526,0.043896484375,0.01861350569178873,0.2192239999771118,0.11301803799726173,0.23131494224071503,0.048216865205603976,0.0769917239435017,0.03531985991733005,0.17709977477788924,0.04292984105067929,0.07576070874929428,0.02163117442940978,0.07864140309393405,0.020481314313668987
cross,MD,OH,wrong_spec,10,0.8243659649422097,0.003696009556926078,0.8492517648364146,0.002775944700714387,0.29812051441105314,0.0413250184171869,0.2158536476569159,0.04586333618272279,0.38038738116519055,0.0412297936942991,0.32153996229171755,0.04369340559304824,0.8243659649422097,0.003696009556926078,0.8344382341927521,0.027769275671637558,0.040705599665989266,0.026494133233390296,0.01739117008033314,0.01653674900544256,0.0640200292516454,0.0377406396469454,0.07655860185623169,0.033493991158248124,0.582576048374176,0.10019514724454258,0.9555598703026771,0.16146482205974533,1.1043393194675446,0.28727582464452506,0.17586150914430618,0.05026528511300664,0.2304931640625,0.08434487970817464,1.2487829267978667,0.19728102622792096,0.5536754250526428,0.08380538827727685,0.15210820771753789,0.06022765677554332,0.5915465265512466,0.097001508691028,0.08029027283191681,0.018241467617371925,0.09648118019104004,0.02086572069816808
cross,MD,PA,adv,10,0.8368874335702232,0.0026027873927884668,0.8423247709516047,0.003216530031273354,0.1536907480780237,0.01674995064488352,0.12184454571174799,0.023124003307729273,0.18553695044429935,0.015603480095979234,0.23350892066955567,0.01956742864702148,0.8368874335702232,0.0026027873927884668,0.8429374402787927,0.006191896751191865,0.05523971780316652,0.013995887811495989,0.035464625994452416,0.01784812235342119,0.07501480961188063,0.013390911406787949,0.12429279685020447,0.02770579002257456,0.24138438552618027,0.03439733535984422,0.6471157169342041,0.1068750643484014,0.6849920630455018,0.10344903810468281,0.09290148690342903,0.015087129247267678,0.09749755859375,0.02134187623799542,0.80293408036232,0.11942263196394307,0.2753957822918892,0.05596076609292084,0.06902661472558975,0.030403513750769415,0.2277533233165741,0.05776336760562818,0.12347268536686898,0.0365336131571978,0.13919610679149627,0.03086524524594009
