"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","behavior","behavior_eod_gap","lower","repair_main0",120,0.00908787864733014,0.010642031194449,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","no_interaction",120,0.0113828917501055,0.0138554013434212,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","score_only",120,0.0236827402517665,0.0243006357289934,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","reweight",120,0.0249692690961857,0.0219710978432045,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","blind",120,0.0292350094627508,0.0205772386141269,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","adv",120,0.0588705325350218,0.0325702997747298,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","erm",120,0.0609668941723378,0.0315002312896685,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_eod_gap","lower","wrong_spec",120,0.150302389616942,0.0688175679116209,7,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","wrong_spec",120,0.295206606831679,0.0742530149603024,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","erm",120,0.127092071298788,0.0474332703417751,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","adv",120,0.120764747900298,0.0495492287278107,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","blind",120,0.0663985305030726,0.0359755683561186,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","score_only",120,0.0594693919332922,0.0442862274431782,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_fpr_gap","descriptive_higher","reweight",120,0.0410915835809435,0.0287477088756989,4,"ScottKnottESD","2.0.3"
