panel,panel_title,experiment,dataset,state,model,model_label,model_order,feature,feature_label,feature_order,mean,std,n
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,steering,"Interaction
steering",4,tract_to_msa_income_percentage,Tract/MSA income,6,0.0020239180768839597,0.0006808068043744821,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,erm,ERM,0,loan_to_value_ratio,LTV,0,0.4165006220340729,0.07688038191943182,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,fairsmote,Fair-SMOTE,1,loan_to_value_ratio,LTV,0,0.7718652963638306,0.19621127579141603,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,score_only,Score-gap,2,loan_to_value_ratio,LTV,0,0.25389880612492555,0.09701675884034369,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,no_interaction,No-interaction,3,loan_to_value_ratio,LTV,0,0.25659933835268023,0.08148016717210983,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,steering,"Interaction
steering",4,loan_to_value_ratio,LTV,0,0.00592358715366567,0.0037721074900927674,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,erm,ERM,0,debt_to_income_ratio,DTI,1,0.3485141098499298,0.07217733115920454,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,fairsmote,Fair-SMOTE,1,debt_to_income_ratio,DTI,1,0.9329365968704224,0.17810803828380015,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,score_only,Score-gap,2,debt_to_income_ratio,DTI,1,0.20352550670504566,0.056097272271081716,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,no_interaction,No-interaction,3,debt_to_income_ratio,DTI,1,0.17231829985976216,0.03953792193243503,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,steering,"Interaction
steering",4,debt_to_income_ratio,DTI,1,0.00660347264492879,0.003671075667646879,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,erm,ERM,0,loan_amount,Loan amt.,2,0.33151320964097974,0.06689734110647419,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,fairsmote,Fair-SMOTE,1,loan_amount,Loan amt.,2,0.48850163221359255,0.22851820988068622,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,score_only,Score-gap,2,loan_amount,Loan amt.,2,0.16343170851469035,0.04584522443012767,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,no_interaction,No-interaction,3,loan_amount,Loan amt.,2,0.12290120944380756,0.0242805230600536,10
hmda_oh,HMDA-OH Race,hmda_race,hmda,OH,steering,"Interaction
steering",4,loan_amount,Loan amt.,2,0.00271107590524476,0.0009484278028421891,10
