experiment,dataset,state,seed,model,feature,metric,value,panel,panel_title,model_label,feature_label,feature_order,model_order
hmda_race,hmda,PA,0,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.2622984051704407,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,1,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.3003800511360168,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,2,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.2563074231147766,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,3,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.3135515451431274,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,4,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.435681015253067,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,5,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.2496223002672195,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,6,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.1270468831062317,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,7,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.3045511841773987,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,8,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.3215793967247009,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,9,no_interaction,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.2374772131443023,hmda_pa,HMDA-PA Race,No-interaction,LTV,0,3
hmda_race,hmda,PA,0,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0041049565188586,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,1,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0090346429497003,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,2,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.004129908978939,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,3,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0033071616198867,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,4,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0069449041038751,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,5,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0038648063782602,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,6,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0056675425730645,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,7,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0022358316928148,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,8,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0055083539336919,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,9,steering,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.0059507004916667,hmda_pa,HMDA-PA Race,"Interaction
steering",LTV,0,4
hmda_race,hmda,PA,0,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.430189847946167,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,1,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.4282459318637848,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,2,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.5215039253234863,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,3,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.4375083446502685,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,4,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3905372619628906,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,5,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3973531723022461,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,6,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3569242656230926,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,7,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.379025250673294,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,8,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.4702180624008178,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,9,erm,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3985526263713836,hmda_pa,HMDA-PA Race,ERM,DTI,1,0
hmda_race,hmda,PA,0,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.7632582783699036,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,1,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.7805118560791016,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,2,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.6748828291893005,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,3,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.9908890128135681,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,4,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.8565942049026489,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,5,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.8182810544967651,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,6,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.8337076902389526,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,7,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.6895949840545654,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,8,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.8093641996383667,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,9,fairsmote,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.836382269859314,hmda_pa,HMDA-PA Race,Fair-SMOTE,DTI,1,1
hmda_race,hmda,PA,0,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2765629291534424,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,1,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2957701086997986,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,2,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.1957675218582153,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,3,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3190818428993225,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,4,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.202161967754364,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,5,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3747288584709167,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,6,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2438923716545105,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,7,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2228034138679504,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,8,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3173646628856659,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,9,score_only,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2304750382900238,hmda_pa,HMDA-PA Race,Score-gap,DTI,1,2
hmda_race,hmda,PA,0,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.233705461025238,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,1,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2844372987747192,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,2,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.1724260151386261,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,3,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2971827983856201,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,4,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2082699537277221,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,5,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.291334331035614,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,6,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2484375238418579,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,7,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2958419919013977,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,8,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.3126245141029358,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
hmda_race,hmda,PA,9,no_interaction,debt_to_income_ratio,pair_abs_mean__debt_to_income_ratio,0.2066165804862976,hmda_pa,HMDA-PA Race,No-interaction,DTI,1,3
